Search Term,carbon price
Geography,Worldwide
Time Period,2004-P
Type,Web Search
,
Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,21,21433
2004-02-01,24,24494
2004-03-01,18,18371
2004-04-01,16,16329
2004-05-01,14,14288
2004-06-01,18,18371
2004-07-01,22,22453
2004-08-01,30,30618
2004-09-01,18,18371
2004-10-01,27,27556
2004-11-01,31,31639
2004-12-01,16,16329
2005-01-01,22,22453
2005-02-01,16,16329
2005-03-01,20,20412
2005-04-01,22,22453
2005-05-01,22,22453
2005-06-01,19,19391
2005-07-01,20,20412
2005-08-01,27,27556
2005-09-01,24,24494
2005-10-01,29,29598
2005-11-01,21,21433
2005-12-01,14,14288
2006-01-01,17,17350
2006-02-01,20,20412
2006-03-01,27,27556
2006-04-01,21,21433
2006-05-01,24,24494
2006-06-01,17,17350
2006-07-01,20,20412
2006-08-01,23,23474
2006-09-01,23,23474
2006-10-01,21,21433
2006-11-01,34,34701
2006-12-01,24,24494
2007-01-01,22,22453
2007-02-01,24,24494
2007-03-01,20,20412
2007-04-01,22,22453
2007-05-01,25,25515
2007-06-01,20,20412
2007-07-01,22,22453
2007-08-01,22,22453
2007-09-01,20,20412
2007-10-01,24,24494
2007-11-01,22,22453
2007-12-01,20,20412
2008-01-01,25,25515
2008-02-01,23,23474
2008-03-01,26,26536
2008-04-01,29,29598
2008-05-01,26,26536
2008-06-01,28,28577
2008-07-01,23,23474
2008-08-01,27,27556
2008-09-01,29,29598
2008-10-01,26,26536
2008-11-01,24,24494
2008-12-01,19,19391
2009-01-01,24,24494
2009-02-01,29,29598
2009-03-01,25,25515
2009-04-01,26,26536
2009-05-01,26,26536
2009-06-01,22,22453
2009-07-01,27,27556
2009-08-01,29,29598
2009-09-01,31,31639
2009-10-01,32,32659
2009-11-01,31,31639
2009-12-01,35,35721
2010-01-01,31,31639
2010-02-01,28,28577
2010-03-01,36,36742
2010-04-01,44,44907
2010-05-01,33,33680
2010-06-01,31,31639
2010-07-01,30,30618
2010-08-01,35,35721
2010-09-01,28,28577
2010-10-01,35,35721
2010-11-01,32,32659
2010-12-01,29,29598
2011-01-01,30,30618
2011-02-01,35,35721
2011-03-01,38,38783
2011-04-01,32,32659
2011-05-01,31,31639
2011-06-01,35,35721
2011-07-01,41,41845
2011-08-01,35,35721
2011-09-01,37,37763
2011-10-01,34,34701
2011-11-01,34,34701
2011-12-01,30,30618
2012-01-01,30,30618
2012-02-01,31,31639
2012-03-01,34,34701
2012-04-01,33,33680
2012-05-01,44,44907
2012-06-01,37,37763
2012-07-01,39,39804
2012-08-01,43,43886
2012-09-01,39,39804
2012-10-01,41,41845
2012-11-01,34,34701
2012-12-01,35,35721
2013-01-01,39,39804
2013-02-01,39,39804
2013-03-01,40,40824
2013-04-01,53,54092
2013-05-01,46,46948
2013-06-01,44,44907
2013-07-01,43,43886
2013-08-01,46,46948
2013-09-01,43,43886
2013-10-01,44,44907
2013-11-01,40,40824
2013-12-01,39,39804
2014-01-01,43,43886
2014-02-01,43,43886
2014-03-01,44,44907
2014-04-01,38,38783
2014-05-01,39,39804
2014-06-01,38,38783
2014-07-01,41,41845
2014-08-01,40,40824
2014-09-01,42,42866
2014-10-01,39,39804
2014-11-01,38,38783
2014-12-01,34,34701
2015-01-01,37,37763
2015-02-01,37,37763
2015-03-01,39,39804
2015-04-01,37,37763
2015-05-01,36,36742
2015-06-01,38,38783
2015-07-01,36,36742
2015-08-01,38,38783
2015-09-01,35,35721
2015-10-01,39,39804
2015-11-01,37,37763
2015-12-01,35,35721
2016-01-01,35,35721
2016-02-01,36,36742
2016-03-01,37,37763
2016-04-01,36,36742
2016-05-01,39,39804
2016-06-01,45,45927
2016-07-01,39,39804
2016-08-01,39,39804
2016-09-01,42,42866
2016-10-01,40,40824
2016-11-01,38,38783
2016-12-01,34,34701
2017-01-01,42,42866
2017-02-01,37,37763
2017-03-01,40,40824
2017-04-01,43,43886
2017-05-01,42,42866
2017-06-01,49,50010
2017-07-01,57,58175
2017-08-01,49,50010
2017-09-01,60,61237
2017-10-01,67,68381
2017-11-01,79,80629
2017-12-01,59,60216
2018-01-01,100,102062
2018-02-01,99,101041
2018-03-01,66,67361
2018-04-01,86,87773
2018-05-01,79,80629
2018-06-01,76,77567
2018-07-01,72,73484
2018-08-01,88,89814
2018-09-01,73,74505
2018-10-01,91,92876
2018-11-01,71,72464
2018-12-01,68,69402
2019-01-01,77,78587
2019-02-01,70,71443
2019-03-01,66,67361
2019-04-01,64,65319
2019-05-01,65,66340
2019-06-01,61,62257
2019-07-01,60,61237
2019-08-01,57,58175
2019-09-01,65,66340
2019-10-01,55,56134
2019-11-01,57,58175
2019-12-01,50,51031
2020-01-01,61,62257
2020-02-01,59,60216
2020-03-01,49,50010
2020-04-01,53,54092
2020-05-01,55,56134
2020-06-01,71,72464
2020-07-01,76,77567
2020-08-01,67,68381
2020-09-01,71,72464
2020-10-01,65,66340
2020-11-01,62,63278
2020-12-01,78,79608
2021-01-01,66,67361
2021-02-01,76,77567
2021-03-01,69,70422
2021-04-01,82,83690
2021-05-01,79,80629
2021-06-01,78,79608
2021-07-01,80,81649
2021-08-01,86,87773
2021-09-01,68,69402
2021-10-01,73,74505
2021-11-01,68,69402
2021-12-01,66,67361
2022-01-01,78,79608
2022-02-01,75,76546
2022-03-01,70,71443
2022-04-01,67,68381
2022-05-01,66,67361
2022-06-01,59,60216
2022-07-01,69,70422
2022-08-01,65,66340
2022-09-01,66,67361
2022-10-01,62,63278
2022-11-01,67,68381
2022-12-01,66,67361
2023-01-01,63,64299
2023-02-01,65,66340
2023-03-01,61,62257
2023-04-01,63,64299
2023-05-01,61,62257
2023-06-01,66,67361
2023-07-01,74,75526