Search Term,energy stocks
Geography,Worldwide
Time Period,2004-P
Type,Web Search
,
Time,Normalized Value (0-100),Absolute Google Search Volume
2004-01-01,10,16093
2004-02-01,6,9656
2004-03-01,8,12875
2004-04-01,5,8046
2004-05-01,8,12875
2004-06-01,8,12875
2004-07-01,9,14484
2004-08-01,13,20921
2004-09-01,5,8046
2004-10-01,14,22531
2004-11-01,8,12875
2004-12-01,12,19312
2005-01-01,13,20921
2005-02-01,18,28968
2005-03-01,24,38625
2005-04-01,18,28968
2005-05-01,9,14484
2005-06-01,13,20921
2005-07-01,15,24140
2005-08-01,28,45062
2005-09-01,23,37015
2005-10-01,29,46672
2005-11-01,14,22531
2005-12-01,19,30578
2006-01-01,25,40234
2006-02-01,27,43453
2006-03-01,27,43453
2006-04-01,32,51500
2006-05-01,21,33797
2006-06-01,12,19312
2006-07-01,12,19312
2006-08-01,17,27359
2006-09-01,13,20921
2006-10-01,15,24140
2006-11-01,13,20921
2006-12-01,12,19312
2007-01-01,17,27359
2007-02-01,18,28968
2007-03-01,16,25750
2007-04-01,16,25750
2007-05-01,16,25750
2007-06-01,16,25750
2007-07-01,18,28968
2007-08-01,13,20921
2007-09-01,15,24140
2007-10-01,20,32187
2007-11-01,21,33797
2007-12-01,23,37015
2008-01-01,25,40234
2008-02-01,21,33797
2008-03-01,23,37015
2008-04-01,25,40234
2008-05-01,36,57937
2008-06-01,31,49890
2008-07-01,33,53109
2008-08-01,18,28968
2008-09-01,24,38625
2008-10-01,51,82078
2008-11-01,33,53109
2008-12-01,21,33797
2009-01-01,23,37015
2009-02-01,23,37015
2009-03-01,28,45062
2009-04-01,19,30578
2009-05-01,20,32187
2009-06-01,21,33797
2009-07-01,17,27359
2009-08-01,17,27359
2009-09-01,17,27359
2009-10-01,17,27359
2009-11-01,15,24140
2009-12-01,15,24140
2010-01-01,19,30578
2010-02-01,16,25750
2010-03-01,16,25750
2010-04-01,17,27359
2010-05-01,14,22531
2010-06-01,12,19312
2010-07-01,9,14484
2010-08-01,11,17703
2010-09-01,9,14484
2010-10-01,13,20921
2010-11-01,12,19312
2010-12-01,10,16093
2011-01-01,18,28968
2011-02-01,18,28968
2011-03-01,20,32187
2011-04-01,16,25750
2011-05-01,14,22531
2011-06-01,11,17703
2011-07-01,11,17703
2011-08-01,12,19312
2011-09-01,9,14484
2011-10-01,9,14484
2011-11-01,8,12875
2011-12-01,8,12875
2012-01-01,10,16093
2012-02-01,11,17703
2012-03-01,10,16093
2012-04-01,10,16093
2012-05-01,8,12875
2012-06-01,6,9656
2012-07-01,6,9656
2012-08-01,7,11265
2012-09-01,8,12875
2012-10-01,7,11265
2012-11-01,8,12875
2012-12-01,6,9656
2013-01-01,9,14484
2013-02-01,10,16093
2013-03-01,9,14484
2013-04-01,9,14484
2013-05-01,9,14484
2013-06-01,8,12875
2013-07-01,8,12875
2013-08-01,7,11265
2013-09-01,7,11265
2013-10-01,10,16093
2013-11-01,8,12875
2013-12-01,8,12875
2014-01-01,11,17703
2014-02-01,11,17703
2014-03-01,11,17703
2014-04-01,11,17703
2014-05-01,10,16093
2014-06-01,11,17703
2014-07-01,9,14484
2014-08-01,9,14484
2014-09-01,9,14484
2014-10-01,12,19312
2014-11-01,12,19312
2014-12-01,20,32187
2015-01-01,18,28968
2015-02-01,18,28968
2015-03-01,13,20921
2015-04-01,12,19312
2015-05-01,10,16093
2015-06-01,8,12875
2015-07-01,10,16093
2015-08-01,13,20921
2015-09-01,11,17703
2015-10-01,11,17703
2015-11-01,9,14484
2015-12-01,15,24140
2016-01-01,15,24140
2016-02-01,15,24140
2016-03-01,15,24140
2016-04-01,13,20921
2016-05-01,11,17703
2016-06-01,9,14484
2016-07-01,8,12875
2016-08-01,8,12875
2016-09-01,9,14484
2016-10-01,9,14484
2016-11-01,13,20921
2016-12-01,12,19312
2017-01-01,13,20921
2017-02-01,13,20921
2017-03-01,12,19312
2017-04-01,11,17703
2017-05-01,11,17703
2017-06-01,11,17703
2017-07-01,10,16093
2017-08-01,11,17703
2017-09-01,11,17703
2017-10-01,11,17703
2017-11-01,13,20921
2017-12-01,14,22531
2018-01-01,18,28968
2018-02-01,13,20921
2018-03-01,11,17703
2018-04-01,11,17703
2018-05-01,11,17703
2018-06-01,9,14484
2018-07-01,10,16093
2018-08-01,10,16093
2018-09-01,10,16093
2018-10-01,12,19312
2018-11-01,10,16093
2018-12-01,9,14484
2019-01-01,10,16093
2019-02-01,11,17703
2019-03-01,11,17703
2019-04-01,10,16093
2019-05-01,9,14484
2019-06-01,9,14484
2019-07-01,10,16093
2019-08-01,10,16093
2019-09-01,11,17703
2019-10-01,10,16093
2019-11-01,11,17703
2019-12-01,12,19312
2020-01-01,16,25750
2020-02-01,20,32187
2020-03-01,40,64375
2020-04-01,42,67594
2020-05-01,28,45062
2020-06-01,32,51500
2020-07-01,28,45062
2020-08-01,24,38625
2020-09-01,24,38625
2020-10-01,30,48281
2020-11-01,43,69203
2020-12-01,43,69203
2021-01-01,100,160938
2021-02-01,78,125531
2021-03-01,46,74031
2021-04-01,33,53109
2021-05-01,32,51500
2021-06-01,32,51500
2021-07-01,24,38625
2021-08-01,22,35406
2021-09-01,25,40234
2021-10-01,38,61156
2021-11-01,31,49890
2021-12-01,26,41843
2022-01-01,44,70812
2022-02-01,35,56328
2022-03-01,42,67594
2022-04-01,32,51500
2022-05-01,25,40234
2022-06-01,27,43453
2022-07-01,22,35406
2022-08-01,27,43453
2022-09-01,27,43453
2022-10-01,24,38625
2022-11-01,22,35406
2022-12-01,23,37015
2023-01-01,27,43453
2023-02-01,25,40234
2023-03-01,19,30578
2023-04-01,18,28968
2023-05-01,19,30578
2023-06-01,22,35406
2023-07-01,21,33797
